Obs,Trt,Variety,Brand,MG,Herbicide_Trait,Seed_Treatment,Herbicide,Vigor,Run,Rep,Rating,Rating_Cor,Rating_beta
19,1484CR2Y,180,ProHarvest ,1.4,RR2Y,"CruiserMaxx, Vibrance",metr,10,1,1,8.333333333,0.833333333,0.833333333
20,1518N,218,Viking,1.5,CN,None,metr,10,1,1,8.666666667,0.866666667,0.866666667
21,1627X,182,ProHarvest ,1.6,RR2X,None,metr,10,1,1,9.5,0.95,0.95
22,1863CR2Y,183,ProHarvest ,1.8,RR2Y,"CruiserMaxx, Vibrance",metr,10,1,1,9,0.9,0.9
23,19BA23,209,Stine,1.9,BGT,Stine XP F,metr,6,1,1,7.666666667,1.277777778,0.9999
24,2008GT,211,Tracy,2,GT,"Intego Suite, N Force",metr,10,1,1,6.333333333,0.633333333,0.633333333
25,2018N,219,Viking,2,CN,CruiserMaxx,metr,9,1,1,7.333333333,0.814814815,0.814814815
26,20B7,176,Power Plus ,2,GT,"ILeVO, PowerShield",metr,7.666666667,1,1,7,0.913043478,0.913043478
27,2138GT,212,Tracy,2.1,BGT,"Intego Suite, N Force",metr,.,1,1,7,0.756756757,0.756756757
28,2152CR2Y,184,ProHarvest ,2.1,RR2Y,"CruiserMaxx, Vibrance",metr,10,1,1,8,0.8,0.8
29,2155N,220,Viking,2.1,CN,CruiserMaxx,metr,10,1,1,7,0.7,0.7
30,2188AT12N,221,Viking,2.4,CN,CruiserMaxx,metr,10,1,1,8.666666667,0.866666667,0.866666667
31,2308GT,213,Tracy,2.3,GT,"Intego Suite, N Force",metr,9.5,1,1,6.666666667,0.701754386,0.701754386
32,236LL,81,Hughes ,2.3,LL,"EverGol Energy, Gaucho, ILeVO",metr,8,1,1,6,0.75,0.75
33,25G8,177,Power Plus ,2.5,GT,"ILeVO, PowerShield",metr,6.666666667,1,1,5.666666667,0.85,0.85
34,266LL,82,Hughes ,2.6,LL,"Apron XL, Cruiser, ILeVO, Maxim, Vibrance",metr,3,1,1,6,2,0.9999
35,2808GT,214,Tracy,2.8,GT,"Intego Suite, N Force",metr,9,1,1,5.5,0.611111111,0.611111111
36,2938GT,215,Tracy,2.9,BGT,"Intego Suite, N Force",metr,8,1,1,4.5,0.5625,0.5625
37,6097R2 ,167,NuTech,0.9,RR2Y,SmartCote Supreme,metr,8,1,1,8.666666667,1.083333333,0.9999
38,7239X,171,NuTech,2.3,RR2X,SmartCote Supreme,metr,6.5,1,1,6.666666667,1.025641026,0.9999
39,8087R2Y,146,Munson,0.8,RR2Y,Intego Suite,metr,7.5,1,1,4,0.533333333,0.533333333
40,8107R2Y,147,Munson,1,RR2Y,Intego Suite,metr,10,1,1,6,0.6,0.6
41,8146R2Y,148,Munson,1.4,RR2Y,Intego Suite,metr,10,1,1,3.333333333,0.333333333,0.333333333
42,8153R2Y,149,Munson,1.5,RR2Y,Intego Suite,metr,8.5,1,1,6.666666667,0.784313725,0.784313725
43,8196R2Y,151,Munson,1.9,RR2Y,Intego Suite,metr,8,1,1,9,1.125,0.9999
44,8247R2Y,153,Munson,2.4,RR2Y,Intego Suite,metr,5,1,1,4,0.8,0.8
45,9159RR2X,150,Munson,1.5,RR2X,Intego Suite,metr,7,1,1,6,0.857142857,0.857142857
46,9229RR2X,152,Munson,2.2,RR2X,Intego Suite,metr,7,1,1,4,0.571428571,0.571428571
47,9258RR2X,154,Munson,2.5,RR2X,Intego Suite,metr,9.666666667,1,1,7,0.724137931,0.724137931
48,AG04X9,12,Asgrow,0.4,RR2X,Acceleron F/I,metr,10,1,1,7,0.7,0.7
49,AG05X9,13,Asgrow,0.5,RR2X,Acceleron F/I,metr,9,1,1,7.5,0.833333333,0.833333333
50,AG08X8,14,Asgrow,0.8,RR2X,Acceleron F/I,metr,10,1,1,8,0.8,0.8
51,AG11X8,15,Asgrow,1.1,RR2X,Acceleron F/I,metr,10,1,1,8,0.8,0.8
52,AG14X8,16,Asgrow,1.4,RR2X,Acceleron F/I,metr,9,1,1,5.333333333,0.592592593,0.592592593
53,AG18X9,17,Asgrow,1.8,RR2X,Acceleron F/I,metr,9,1,1,8,0.888888889,0.888888889
54,AG19X8,18,Asgrow,1.9,RR2X,Acceleron F/I,metr,10,1,1,7,0.7,0.7
55,AG20X9,19,Asgrow,2,RR2X,Acceleron F/I,metr,10,1,1,8,0.8,0.8
56,AG23X9,20,Asgrow,2.3,RR2X,Acceleron F/I,metr,9,1,1,8.333333333,0.925925926,0.925925926
57,AG24X9,21,Asgrow,2.4,RR2X,Acceleron F/I,metr,.,1,1,6.333333333,0.745098039,0.745098039
58,AG27X9,22,Asgrow,2.7,RR2X,Acceleron F/I,metr,10,1,1,5.333333333,0.533333333,0.533333333
59,BG7110R2Y,24,BioGene,1.1,RR2Y,Arma,metr,10,1,1,7,0.7,0.7
60,BG7141R2Y,25,BioGene,1.4,RR2Y,Arma,metr,10,1,1,5.666666667,0.566666667,0.566666667
61,BG7151R2Y,26,BioGene,1.5,RR2Y,Arma,metr,10,1,1,6.666666667,0.666666667,0.666666667
62,BG8210RR2X,27,BioGene,2.1,RR2X,Arma,metr,10,1,1,7.5,0.75,0.75
63,C0850R2,132,LG Seeds,0.8,RR2Y,"AgriSheild F/I, ILeVO",metr,7.666666667,1,1,7,0.913043478,0.913043478
64,C1000RX,133,LG Seeds,1,RR2X,"AgriSheild F/I, ILeVO",metr,6.333333333,1,1,3,0.473684211,0.473684211
65,C1414RX,134,LG Seeds,1.4,RR2X,"AgriSheild F/I, ILeVO",metr,7,1,1,5.5,0.785714286,0.785714286
66,C1428R2,135,LG Seeds,1.4,RR2Y,"AgriSheild F/I, ILeVO",metr,6,1,1,4.5,0.75,0.75
67,C1838RX,137,LG Seeds,1.8,RR2X,"AgriSheild F/I, ILeVO",metr,9,1,1,4.666666667,0.518518519,0.518518519
68,C2020R2,138,LG Seeds,2,RR2Y,"AgriSheild F/I, ILeVO",metr,8,1,1,6,0.75,0.75
69,C2255R2,140,LG Seeds,2.2,RR2Y,"AgriSheild F/I, ILeVO",metr,6.5,1,1,6,0.923076923,0.923076923
70,C2888RX,145,LG Seeds,2.8,RR2X,"AgriSheild F/I, ILeVO",metr,7.5,1,1,6,0.8,0.8
71,CB22R88,28,Cornelius,2.2,RR2Y,Profit Guard Plus,metr,10,1,1,4.333333333,0.433333333,0.433333333
72,CB23X00,29,Cornelius,2.3,RR2X,Profit Guard Plus,metr,10,1,1,6.333333333,0.633333333,0.633333333
73,CB24R82,30,Cornelius,2.4,RR2Y,Profit Guard Plus,metr,10,1,1,5.666666667,0.566666667,0.566666667
74,CB24X64,31,Cornelius,2.4,RR2X,Profit Guard Plus,metr,7.5,1,1,6.333333333,0.844444444,0.844444444
75,CB26R30,32,Cornelius,2.6,RR2Y,Profit Guard Plus,metr,8.333333333,1,1,8,0.96,0.96
76,CB26X67,33,Cornelius,2.6,RR2X,Profit Guard Plus,metr,7.5,1,1,5.5,0.733333333,0.733333333
77,CB27X81,34,Cornelius,2.7,RR2X,Profit Guard Plus,metr,10,1,1,5.666666667,0.566666667,0.566666667
78,CB28R58,35,Cornelius,2.8,RR2Y,Profit Guard Plus,metr,10,1,1,7.666666667,0.766666667,0.766666667
79,CB29X90,36,Cornelius,2.9,RR2X,Profit Guard Plus,metr,10,1,1,6.333333333,0.633333333,0.633333333
80,Dane,187,Public,1.5,CN,None,metr,9.333333333,1,1,7,0.75,0.75
81,DSR-0711/R2Y,37,Dairyland,0.7,RR2Y,"CruiserMaxx, Optimize",metr,10,1,1,9,0.9,0.9
82,DSR-0807/R2Y,38,Dairyland,0.8,RR2Y,"CruiserMaxx, Optimize",metr,10,1,1,9.666666667,0.966666667,0.966666667
83,DSR-0988/R2Y,39,Dairyland,0.9,RR2Y,"CruiserMaxx, Optimize",metr,10,1,1,7.333333333,0.733333333,0.733333333
84,DSR-1120/R2Y,40,Dairyland,1.1,RR2Y,"CruiserMaxx, Optimize",metr,10,1,1,7.666666667,0.766666667,0.766666667
85,DSR-1313/R2Y,41,Dairyland,1.3,RR2Y,"CruiserMaxx, Optimize",metr,10,1,1,7.666666667,0.766666667,0.766666667
86,DSR-1475/R2Y,42,Dairyland,1.4,RR2Y,"CruiserMaxx, Optimize",metr,10,1,1,7.5,0.75,0.75
87,DSR-1526/R2Y,43,Dairyland,1.5,RR2Y,"CruiserMaxx, Optimize",metr,10,1,1,7,0.7,0.7
88,DSR-1721/R2Y,44,Dairyland,1.7,RR2Y,"CruiserMaxx, Optimize",metr,10,1,1,7,0.7,0.7
89,DSR-1870/R2Y,45,Dairyland,1.8,RR2Y,"CruiserMaxx, Optimize",metr,10,1,1,5.333333333,0.533333333,0.533333333
90,DSR-1950/R2Y,46,Dairyland,1.9,RR2Y,"CruiserMaxx, Optimize",metr,9,1,1,6,0.666666667,0.666666667
91,DSR-2110/R2Y,47,Dairyland,2.1,RR2Y,"CruiserMaxx, Optimize",metr,7.333333333,1,1,6.666666667,0.909090909,0.909090909
92,DSR-2330/R2Y,48,Dairyland,2.3,RR2Y,"CruiserMaxx, Optimize",metr,9,1,1,7.5,0.833333333,0.833333333
93,DSR-2616/R2Y,49,Dairyland,2.6,RR2Y,"CruiserMaxx, Optimize",metr,9,1,1,5.5,0.611111111,0.611111111
94,DSR-2909/R2Y,50,Dairyland,2.9,RR2Y,"CruiserMaxx, Optimize",metr,.,1,1,3.5,0.583333333,0.583333333
95,ER17141,181,ProHarvest ,1.4,RR2Y,None,metr,10,1,1,8,0.8,0.8
96,ER18090,178,ProHarvest ,0.9,RR2Y,"CruiserMaxx, Vibrance",metr,10,1,1,3.333333333,0.333333333,0.333333333
97,F0990N R2X,61,Federal Hybrids,0.9,RR2X,Maximum ArmourGuard,metr,8,1,1,8,1,0.9999
98,F106N RR2Y,62,Federal Hybrids,1,RR2Y,Maximum ArmourGuard,metr,10,1,1,7.666666667,0.766666667,0.766666667
99,F1490N R2X,63,Federal Hybrids,1.4,RR2X,Maximum ArmourGuard,metr,10,1,1,6.333333333,0.633333333,0.633333333
100,F154N RR2Y,64,Federal Hybrids,1.5,RR2Y,Maximum ArmourGuard,metr,6,1,1,8.333333333,1.388888889,0.9999
101,F1690N R2X,65,Federal Hybrids,1.6,RR2X,Maximum ArmourGuard,metr,6,1,1,4,0.666666667,0.666666667
102,G1502RX,1,AgriGold ,1.5,RR2X,"AgriSheild F/I, ILeVO",metr,10,1,1,5,0.5,0.5
103,G1850RX,3,AgriGold ,1.8,RR2X,"AgriSheild F/I, ILeVO",metr,10,1,1,5,0.5,0.5
104,G2105RX,5,AgriGold ,2.1,RR2X,"AgriSheild F/I, ILeVO",metr,9.333333333,1,1,5.333333333,0.571428571,0.571428571
105,G2250RX,6,AgriGold ,2.2,RR2X,"AgriSheild F/I, ILeVO",metr,10,1,1,6.5,0.65,0.65
106,G2405RX,8,AgriGold ,2.4,RR2X,"AgriSheild F/I, ILeVO",metr,8.666666667,1,1,6.5,0.75,0.75
107,G2900RX,11,AgriGold ,2.9,RR2X,"AgriSheild F/I, ILeVO",metr,10,1,1,7.666666667,0.766666667,0.766666667
108,GH1619X Brand,75,Golden Harvest,1.6,RR2X,"Clariva Complete, Mertect",metr,10,1,1,7,0.7,0.7
109,GH1915X Brand,76,Golden Harvest,1.9,RR2X,"Clariva Complete, Mertect",metr,10,1,1,5.333333333,0.533333333,0.533333333
110,GH2041X Brand,77,Golden Harvest,2,RR2X,"Clariva Complete, Mertect",metr,10,1,1,8,0.8,0.8
111,GH2230X Brand,78,Golden Harvest,2.2,RR2X,"Clariva Complete, Mertect",metr,10,1,1,7.666666667,0.766666667,0.766666667
112,GH2537X Brand,79,Golden Harvest,2.5,RR2X,"Clariva Complete, Mertect",metr,5,1,1,5.333333333,1.066666667,0.9999
113,GH2788X Brand,80,Golden Harvest,2.7,RR2X,"Clariva Complete, Mertect",metr,4,1,1,7,1.75,0.9999
114,HS 16X80,66,FS HiSOY,1.6,RR2X,"Acceleron, Cue, IleVO",metr,7.666666667,1,1,7,0.913043478,0.913043478
115,HS 18X70,67,FS HiSOY,1.8,RR2X,"Acceleron, Cue, IleVO",metr,9,1,1,5.333333333,0.592592593,0.592592593
116,HS 21X70,68,FS HiSOY,2.1,RR2X,"Acceleron, Cue, IleVO",metr,9,1,1,5.5,0.611111111,0.611111111
117,HS 22X80,69,FS HiSOY,2.2,RR2X,"Acceleron, Cue, IleVO",metr,6,1,1,5.333333333,0.888888889,0.888888889
118,HS 23X70,70,FS HiSOY,2.3,RR2X,"Acceleron, Cue, IleVO",metr,7,1,1,5,0.714285714,0.714285714
119,HS 24X80,71,FS HiSOY,2.4,RR2X,"Acceleron, Cue, IleVO",metr,7,1,1,5.5,0.785714286,0.785714286
120,HS 25X70,72,FS HiSOY,2.5,RR2X,"Acceleron, Cue, IleVO",metr,.,1,1,8,1.103448276,0.9999
121,HS 27X80,73,FS HiSOY,2.7,RR2X,"Acceleron, Cue, IleVO",metr,10,1,1,.,.,0.9999
122,HS 28X70,74,FS HiSOY,2.8,RR2X,"Acceleron, Cue, IleVO",metr,10,1,1,8,0.8,0.8
123,LGS0774RX,131,LG Seeds,0.7,RR2X,"AgriSheild F/I, ILeVO",metr,10,1,1,6.5,0.65,0.65
124,LGS1635RX,136,LG Seeds,1.6,RR2X,"AgriSheild F/I, ILeVO",metr,8.5,1,1,4.333333333,0.509803922,0.509803922
125,LGS2007RX,139,LG Seeds,2,RR2X,"AgriSheild F/I, ILeVO",metr,8.5,1,1,4.666666667,0.549019608,0.549019608
126,LGS2239RX,141,LG Seeds,2.2,RR2X,"AgriSheild F/I, ILeVO",metr,6.666666667,1,1,5,0.75,0.75
127,LGS2444RX,142,LG Seeds,2.4,RR2X,"AgriSheild F/I, ILeVO",metr,7,1,1,6.666666667,0.952380952,0.952380952
128,LGS2680RX,143,LG Seeds,2.6,RR2X,"AgriSheild F/I, ILeVO",metr,8,1,1,6.333333333,0.791666667,0.791666667
129,LGS2759RX,144,LG Seeds,2.7,RR2X,"AgriSheild F/I, ILeVO",metr,10,1,1,6.666666667,0.666666667,0.666666667
130,LS 0380HP,103,Legend Seeds,0.3,CN,"YP Pro, Preside, Quickroots",metr,9,1,1,7,0.777777778,0.777777778
131,LS 0702HP,104,Legend Seeds,0.7,CN,"YP Pro, Preside, Quickroots",metr,7.5,1,1,5.666666667,0.755555556,0.755555556
132,LS 0990HP,105,Legend Seeds,0.9,CN,None,metr,10,1,1,9,0.9,0.9
133,LS 1172LLN,106,Legend Seeds,1.1,LL,"YP Pro, Preside, Quickroots",metr,10,1,1,8.5,0.85,0.85
134,LS 11R760N,107,Legend Seeds,1.1,RR2Y,"YP Pro, Preside, Quickroots",metr,10,1,1,1,0.1,0.1
135,LS 12X862N,108,Legend Seeds,1.2,RR2X,"YP Pro, Preside, Quickroots",metr,10,1,1,.,.,0.9999
136,LS 1380HP,109,Legend Seeds,1.3,CN,CruiserMaxx,metr,7,1,1,.,.,0.9999
137,LS 14R22N,111,Legend Seeds,1.4,RR2Y,"YP Pro, Preside, Quickroots",metr,.,1,1,8,1.090909091,0.9999
138,LS 14X862N,110,Legend Seeds,1.4,RR2X,"YP Pro, Preside, Quickroots",metr,.,1,1,8,1.066666667,0.9999
139,LS 1527LLN,207,Legend Seeds,1.5,LL,"YP Pro, Preside, Quickroots",metr,.,1,1,4,0.48,0.48
140,LS 16X932N,114,Legend Seeds,1.6,RR2X,"YP Pro, Preside, Quickroots",metr,9,1,1,5.5,0.611111111,0.611111111
141,LS 17C930N,115,Legend Seeds,1.7,CN,None,metr,10,1,1,7.333333333,0.733333333,0.733333333
142,LS 18X860N,116,Legend Seeds,1.8,RR2X,"YP Pro, Preside, Quickroots",metr,10,1,1,5.333333333,0.533333333,0.533333333
143,LS 20R524N,117,Legend Seeds,2,RR2Y,"YP Pro, Preside, Quickroots",metr,10,1,1,6,0.6,0.6
144,LS 20X963N,118,Legend Seeds,2,RR2X,"YP Pro, Preside, Quickroots",metr,10,1,1,8,0.8,0.8
145,LS 2180HP,119,Legend Seeds,2.1,CN,None,metr,7,1,1,6,0.857142857,0.857142857
146,LS 21C964N,120,Legend Seeds,2.1,CN,"YP Pro, Preside, Quickroots",metr,7,1,1,5,0.714285714,0.714285714
147,LS 23X920N,121,Legend Seeds,2.3,RR2X,"YP Pro, Preside, Quickroots",metr,9,1,1,.,.,0.9999
148,LS 24C756N,122,Legend Seeds,2.4,CN,"YP Pro, Preside, Quickroots",metr,.,1,1,10,1.333333333,0.9999
149,LS 24X842N,123,Legend Seeds,2.4,RR2X,"YP Pro, Preside, Quickroots",metr,9,1,1,7,0.777777778,0.777777778
150,LS 2580NHP,124,Legend Seeds,2.5,CN,None,metr,9.5,1,1,6.333333333,0.666666667,0.666666667
151,LS 25X924N,125,Legend Seeds,2.5,RR2X,"YP Pro, Preside, Quickroots",metr,10,1,1,7,0.7,0.7
152,LS 27R524N,126,Legend Seeds,2.7,RR2Y,"YP Pro, Preside, Quickroots",metr,10,1,1,4.333333333,0.433333333,0.433333333
153,LS 2880NHP,127,Legend Seeds,2.8,CN,None,metr,10,1,1,7,0.7,0.7
154,LS 28C726N,128,Legend Seeds,2.8,CN,"YP Pro, Preside, Quickroots",metr,10,1,1,4.333333333,0.433333333,0.433333333
155,LS 28X840N,129,Legend Seeds,2.8,RR2X,"YP Pro, Preside, Quickroots",metr,10,1,1,6.333333333,0.633333333,0.633333333
156,LS 29X952N,130,Legend Seeds,2.9,RR2X,"YP Pro, Preside, Quickroots",metr,9.5,1,1,9,0.947368421,0.947368421
157,LS-0646 RR2,94,Legacy Seeds,0.6,RR2Y,"L-Coat Total, Excalibre",metr,10,1,1,7.333333333,0.733333333,0.733333333
158,LS-0738N RR2X,95,Legacy Seeds,0.7,RR2X,"L-Coat Total, Excalibre",metr,10,1,1,5.5,0.55,0.55
159,LS-1039N RR2,96,Legacy Seeds,1,RR2Y,"L-Coat Total, Excalibre",metr,8.666666667,1,1,4,0.461538462,0.461538462
160,LS-1138N RR2X,97,Legacy Seeds,1.1,RR2X,"L-Coat Total, Excalibre",metr,10,1,1,7,0.7,0.7
161,LS-1439N RR2X,98,Legacy Seeds,1.4,RR2X,"L-Coat Total, Excalibre",metr,10,1,1,7,0.7,0.7
162,LS14C953N,112,Legend Seeds,1.4,CN,"YP Pro, Preside, Quickroots",metr,5,1,1,.,.,0.9999
163,LS-1639N RR2X,99,Legacy Seeds,1.6,RR2X,"L-Coat Total, Excalibre",metr,8,1,1,7,0.875,0.875
164,LS-1838N RR2X,100,Legacy Seeds,1.8,RR2X,"L-Coat Total, Excalibre",metr,10,1,1,7,0.7,0.7
165,LS-2139N RR2X,101,Legacy Seeds,2.1,RR2X,"L-Coat Total, Excalibre",metr,10,1,1,7,0.7,0.7
166,LS-2339N RR2X,102,Legacy Seeds,2.3,RR2X,"L-Coat Total, Excalibre",metr,10,1,1,6,0.6,0.6
167,MN1410,186,Public,1.4,CN,Arma,metr,9.5,1,1,7,0.736842105,0.736842105
168,O.1202N,217,Viking,1.2,CN,None,metr,10,1,1,7,0.7,0.7
169,O.2518N,222,Viking,2.5,CN,None,metr,10,1,1,9,0.9,0.9
170,O'SOY1901GT,173,O'Brien,1.9,GT,EclipseUS Trio IM,metr,6,1,1,.,.,0.9999
171,O'SOY245NR2Y,174,O'Brien,2.4,RR2Y,EclipseUS Trio IM,metr,.,1,1,7,0.857142857,0.857142857
172,O'SOY2500GT,175,O'Brien,2.5,GT,EclipseUS Trio IM,metr,8.5,1,1,4,0.470588235,0.470588235
173,RS084NR2,188,Renk,0.8,RR2Y,CruiserMaxx,metr,10,1,1,8.666666667,0.866666667,0.866666667
174,RS089NX,189,Renk,0.8,RR2X,CruiserMaxx,metr,10,1,1,9,0.9,0.9
175,RS096NR2,190,Renk,0.9,RR2Y,CruiserMaxx,metr,10,1,1,9,0.9,0.9
176,RS149NX,191,Renk,1.4,RR2X,CruiserMaxx,metr,8,1,1,9,1.125,0.9999
177,RS153NR2,192,Renk,1.5,RR2Y,CruiserMaxx,metr,10,1,1,8,0.8,0.8
178,RS169NX,193,Renk,1.6,RR2X,CruiserMaxx,metr,10,1,1,8,0.8,0.8
179,RS188NX,194,Renk,1.8,RR2X,CruiserMaxx,metr,10,1,1,6.333333333,0.633333333,0.633333333
180,RS207NX,195,Renk,2,RR2X,CruiserMaxx,metr,10,1,1,9,0.9,0.9
181,RS219NX,196,Renk,2.1,RR2X,CruiserMaxx,metr,10,1,1,8,0.8,0.8
182,RS239NX,197,Renk,2.3,RR2X,CruiserMaxx,metr,8.333333333,1,1,8.333333333,1,0.9999
183,RS241R2,198,Renk,2.4,RR2Y,CruiserMaxx,metr,8,1,1,7.333333333,0.916666667,0.916666667
184,RS248NX,199,Renk,2.4,RR2X,CruiserMaxx,metr,10,1,1,6.666666667,0.666666667,0.666666667
185,RS269NX,200,Renk,2.6,RR2X,CruiserMaxx,metr,10,1,1,6.333333333,0.633333333,0.633333333
186,RS288NX,201,Renk,2.8,RR2X,CruiserMaxx,metr,10,1,1,8,0.8,0.8
187,S07-Q4X Brand,155,NK ,0.7,RR2X,"Clariva Complete, Mertect",metr,10,1,1,7.5,0.75,0.75
188,S09-R8X Brand,156,NK ,0.9,RR2X,"Clariva Complete, Mertect",metr,9,1,1,7.666666667,0.851851852,0.851851852
189,S10-H7X Brand ,157,NK ,1,RR2X,"Clariva Complete, Mertect",metr,8,1,1,9,1.125,0.9999
190,S14-B2X Brand,158,NK ,1.4,RR2X,"Clariva Complete, Mertect",metr,10,1,1,6,0.6,0.6
191,S14XT98,51,Dyna-Gro,1.4,RR2X,"Equity VIP, Clariva",metr,10,1,1,6.666666667,0.666666667,0.666666667
192,S17RY67,54,Dyna-Gro,1.7,RR2Y,"Equity VIP, Clariva",metr,10,1,1,7.5,0.75,0.75
193,S18-G4X Brand ,159,NK ,1.8,RR2X,"Clariva Complete, Mertect",metr,8,1,1,7.5,0.9375,0.9375
194,S18-H3X Brand,160,NK ,1.8,RR2X,"Clariva Complete, Mertect",metr,8.5,1,1,8.333333333,0.980392157,0.980392157
195,S18XT38,55,Dyna-Gro,1.8,RR2X,"Equity VIP, Clariva",metr,10,1,1,7.333333333,0.733333333,0.733333333
196,S20-J5X Brand,161,NK ,2,RR2X,"Clariva Complete, Mertect",metr,6,1,1,6.666666667,1.111111111,0.9999
197,S20-T6 Brand,162,NK ,2,RR2Y,"Clariva Complete, Mertect",metr,5.666666667,1,1,9,1.588235294,0.9999
198,S21-W8X Brand,163,NK ,2.1,RR2X,"Clariva Complete, Mertect",metr,6,1,1,8,1.333333333,0.9999
199,S21XT49,56,Dyna-Gro,2.1,RR2X,"Equity VIP, Clariva",metr,10,1,1,5.333333333,0.533333333,0.533333333
200,S23XT78,57,Dyna-Gro,2.3,RR2X,"Equity VIP, Clariva",metr,10,1,1,6,0.6,0.6
201,S24RY87,59,Dyna-Gro,2.4,RR2Y,"Equity VIP, Clariva",metr,10,1,1,7.666666667,0.766666667,0.766666667
202,S25-B6X Brand ,164,NK ,2.5,RR2X,"Clariva Complete, Mertect",metr,7,1,1,9,1.285714286,0.9999
203,S27-M8X Brand,165,NK ,2.8,RR2X,"Clariva Complete, Mertect",metr,7,1,1,7,1,0.9999
204,S28XT58,60,Dyna-Gro,2.8,RR2X,"Equity VIP, Clariva",metr,10,1,1,7,0.7,0.7
205,S29-K3X Brand,166,NK ,2.9,RR2X,"Clariva Complete, Mertect",metr,6.333333333,1,1,9,0.947368421,0.947368421
206,SB0718,202,SB&B,0.8,CN,None,metr,9.5,1,1,6.5,0.684210526,0.684210526
207,SB1270,204,SB&B,1.2,CN,None,metr,10,1,1,2.666666667,0.266666667,0.266666667
208,SB165,205,SB&B,1.6,CN,None,metr,8.5,1,1,7.666666667,0.901960784,0.901960784
209,SB86,206,SB&B,1.8,CN,None,metr,10,1,1,7,0.7,0.7
210,SB90,203,SB&B,1.1,CN,None,metr,10,1,1,6.5,0.65,0.65
211,SVX 18T02,223,PROSeeds,0.7,CN,CruiserMaxx,metr,10,1,1,7.5,0.75,0.75
212,SVX 18T05,224,PROSeeds,0.7,CN,CruiserMaxx,metr,7.5,1,1,5.5,0.733333333,0.733333333
213,SVX 18T07,225,PROSeeds,1,CN,CruiserMaxx,metr,8,1,1,8,1,0.9999
214,SVX 18T08,226,PROSeeds,0.8,CN,CruiserMaxx,metr,9.5,1,1,9,0.947368421,0.947368421
215,SVX 18T09,227,PROSeeds,1.5,CN,CruiserMaxx,metr,10,1,1,6.666666667,0.666666667,0.666666667
216,SVX 18T10,228,PROSeeds,1.5,CN,CruiserMaxx,metr,9,1,1,9.5,1.055555556,0.9999
217,SVX 18T12,229,PROSeeds,1.6,CN,CruiserMaxx,metr,10,1,1,7.666666667,0.766666667,0.766666667
218,SX18716XT,53,Dyna-Gro,1.6,RR2X,"Equity VIP, Clariva",metr,.,1,1,6,0.75,0.75
219,SX18723XT,58,Dyna-Gro,2.3,RR2X,"Equity VIP, Clariva",metr,7,1,1,6.333333333,0.904761905,0.904761905
220,SX18814XT,52,Dyna-Gro,1.4,RR2X,"Equity VIP, Clariva",metr,9.333333333,1,1,5.666666667,0.607142857,0.607142857
221,X12BB22,208,Stine,1.1,BGT,RightStart FI,metr,7.5,1,1,6.666666667,0.888888889,0.888888889
1,7144,168,NuTech,1.4,GT,SmartCote Supreme,metr,9,1,2,5.666666667,0.62962963,0.62962963
2,7198,169,NuTech,1.9,GT,SmartCote Supreme,metr,7.5,1,2,7,0.933333333,0.933333333
3,7224,170,NuTech,2.2,GT,SmartCote Supreme,metr,6.5,1,2,8,1.230769231,0.9999
4,7253,172,NuTech,2.5,GT,SmartCote Supreme,metr,7,1,2,6,0.857142857,0.857142857
